	logFC
Apoo-ps	5.924250695524348
Rps27rt	5.148557841200515
Defb25	3.1244515353680082
Penk	2.781565894147594
Arxes2	2.682745833357864
Atp6v0c-ps2	2.4934140256531876
Gm13826	2.41581860362227
Dcn	2.3615980380585433
Eno1b	2.2121202615587037
Nppc	2.1865147122679103
Sap25	2.080194893771981
Gm5643	2.069422967511286
Stmn3	2.0340657110572296
Sema3d	2.0312765752034725
Sprr2b	1.883445316136378
Sybu	1.8659912943104104
Htra1	1.8163320390405095
Arg1	1.7719336895620952
Mir3101	1.7459442893559949
Hyal3	1.7459424635681509
Htra3	1.7401045976797682
Pde1b	1.7369960105947428
Ccdc80	1.7224005087763588
Slurp1	1.71946767794212
Emilin2	1.7038360824641603
Gpr176	1.664329173537862
Tnfaip6	1.6566720215334232
Eid3	1.611644224140408
Pla2g2e	1.6084433579300965
Ank2	1.6057531944055463
Kcnk3	1.5994565586505158
Tmem37	1.5868807227846775
Fabp5	1.5792070635557498
Spn	1.5368872061453434
Gm5512	1.5322123955856712
Slc12a8	1.5170078398758993
Tcf23	1.502865567196133
Elovl4	1.4921884254694462
Gatm	1.484892488482903
Fabp3	1.4798653847967396
Rab39b	1.475546337394273
Tbxa2r	1.4546799664117809
St14	1.4465793742363897
Ddc	1.4373600109924092
Scarna6	1.424020343385672
Ssu2	1.4240162356638184
Mir568	1.424015770030119
Snora5c	1.4240141619653555
Abhd11os	1.424013931967531
Oit3	1.4123324373843786
Hrh1	1.410617735606515
Slc2a6	1.4030080356888497
Asgr2	1.3980182793579279
LOC100503676	1.390848777589024
LOC100504608	1.385540164806927
Angptl4	1.3777762321210596
Kcnk2	1.3547514805677914
Txnrd3	1.3416697232893506
Cyp2ab1	1.326719053269775
Nkpd1	1.3170985095216186
Nov	1.3161604145890025
Fam71f1	1.313406996190486
Pvrl1	1.3115351273075422
Ido1	1.307500193855449
Tfcp2l1	1.306868211461454
Gm5176	1.2984838299587393
Slc6a6	1.2928232181916386
Mir8094	1.2793359114582072
Scd1	1.2760953521400862
Gja4	1.275695848001248
Flrt3	1.2670542441341612
Stac2	1.2645345960306213
Gfra1	1.2637202268791328
Gabre	1.2592006654243237
Tslp	1.2531599531676847
Gm10516	1.251831491485012
Prrt4	1.2438109309782177
Gad2	1.236605798275532
Snord35a	1.2313685298749284
Lpl	1.2286139678669388
Prodh	1.2248055872383659
Ltbp1	1.2247107271603939
Crb2	1.2237113703929456
Dnm3	1.222960739606308
Cyp7b1	1.2098905369061805
1500009L16Rik	1.2072026170264707
Papln	1.2057237000464434
Plekhs1	1.2036235052582411
Itga4	1.1942985682432228
C3ar1	1.1922860333770524
G630090E17Rik	1.1921950602354354
Anxa6	1.191208278288894
Pla2g16	1.1895495794658018
Aspa	1.183006264665337
Nckap1l	1.1809240938772585
Rnls	1.1767272865932552
Tpbg	1.1713897578951085
Pik3r5	1.1674415832027847
Pcp2	1.161940885744254
2210417A02Rik	1.1609756552778434
Acap1	1.1589211527360237
Fbn1	1.1551175279173693
Tsku	1.1527661258598005
Havcr2	1.1469522522987559
Prr15	1.146486212206879
Fam213a	1.1397815942565281
Irx2	1.12927213167909
Cgref1	1.127408785862854
Pltp	1.1239129232451306
Pi16	1.1195578099505943
Tmem154	1.117034114619734
Ephx1	1.1169715746348456
Gpnmb	1.116887882743258
Col5a1	1.1166780045290992
