	logFC
Klhl35	1.1158864257881191
Atp1a3	1.1143365831711738
Cxcl12	1.1115331241747937
Nwd1	1.1096721157634875
Col8a1	1.1080522173904939
Sertad4	1.106132322558699
Mtl5	1.1053982543371517
Acsbg1	1.0949437077915416
Tmem40	1.089429946396624
Mogat1	1.0869778357839628
Slmo1	1.0869760848141419
Nppb	1.0840563497089617
Eln	1.0833445516913458
Thbs2	1.081877742902954
Tmem132a	1.0769612378753137
Fosb	1.0757337538060545
Vegfc	1.0723113478627206
4921513I03Rik	1.0720167310591253
Wasf1	1.0666921783219458
Rgma	1.064468945055017
Tgfb2	1.0623398054095006
Atp8b1	1.0601980840020184
9430091E24Rik	1.053383759021243
Snhg18	1.052043170297837
Ppm1h	1.0506329976174122
1700042O10Rik	1.0469471608867122
Per3	1.0446401413151054
Dnm1	1.042923662293726
Fam217a	1.0429227514493966
Serpinb1c	1.0393533590926
Zfp365	1.0354426788682833
Vasn	1.0336399112136712
Acss2	1.0332215198854975
Ptp4a3	1.0320635236280098
Npl	1.02783657532412
Itih5	1.027139432945866
Tmem86a	1.024004505569375
Serpinb9b	1.0222403611313116
Igfbp6	1.0089809127758091
Mir1905	1.008978213833281
Pcdhb18	1.008977698761237
Rps19-ps3	1.0089774928244377
Mir7082	1.008977424979644
Gm1968	1.0089773244140676
Crabp2	1.0089761387236753
S100a2	1.008975744765424
Ccl7	1.008975578379771
AV051173	1.0089755759300365
Mir6418	1.0089730368379584
Gm5886	1.0089727833213944
Pnpla7	0.9988738165246756
Pfkfb4	0.9970057793076934
Pcolce	0.9955570658987395
Rnase4	0.9918682565577522
A330069E16Rik	0.9858941097331135
L1cam	0.9818130931431702
Sgsm1	0.9813379192295468
Eno3	0.980837371210837
Endou	0.9807339030548486
Itga7	0.9787437032765297
2010015L04Rik	0.978249509374419
Gm10560	0.9715033511640104
Gpc2	0.9671553122958657
Irak3	0.9665413232912532
Nox3	0.9631757975309495
Ngef	0.9602598790365074
Slc35g3	0.9600682169719147
Thbs3	0.9596786076188646
Sema3b	0.9579921481003213
Nrp1	0.9541118793701833
Smpdl3b	0.950418071899174
Fads2	0.9491405479831871
Foxred2	0.9485502609371071
Ndrg4	0.9460320517794277
Tgfb3	0.9425066371379507
Cystm1	0.9385866532282687
Nid2	0.9373025448210508
Asrgl1	0.9366637211212616
Ankrd55	0.9359201457078802
Nuak1	0.934315239880868
Cd24a	0.9306502957048922
Dram1	0.9257209214663161
Pyhin1	0.9244412148776902
9330188P03Rik	0.9235875937830336
Ehd3	0.9232925429601635
Slc16a3	0.9201358581294083
Gab1	0.9195418098618013
Slc4a8	0.9145027382653355
Ctnnal1	0.9139453222767562
Snora41	0.9094407056751843
Mt3	0.909438612789622
1700084E18Rik	0.9094377930072073
Lrrc39	0.9092235743838579
March1	0.9064760273112005
Olfml2b	0.9036244063853515
Tcte2	0.900453652973128
Ckb	0.8977040762003359
Lhpp	0.8923996334938573
Serp2	0.8922302052911201
Sema3e	0.8892379343566543
Slc6a2	0.8866405964856637
Arl4c	0.8858827901397803
Col5a3	0.8846828993537682
Deptor	0.8842982222563157
Hist1h2ae	0.8834438748803688
Abca1	0.881130553417174
Fam20a	0.8748171113034017
Ntn4	0.874676640928857
Nkx2-3	0.8722858037417577
Efemp1	0.8695764649032506
Sprr1a	0.8678642886200251
Mfsd2a	0.8664666852431588
Fam20c	0.86623549998711
2700054A10Rik	0.8652632139447071
Ctf1	0.8645880608320453
Olfm1	0.8643078499321136
Dnajc12	0.8561809033448219
Tdrp	0.8552910096916683
Col4a5	0.8548017863920915
Lgi4	0.8528578914539455
Col7a1	0.8512965871173817
2010204K13Rik	0.8501445089911221
Robo3	0.8491948080973479
B230217C12Rik	0.8477311912364665
B4galnt1	0.8476746467607809
Pcolce2	0.8474907667171591
Dok2	0.8462468613775643
Kif21a	0.846046025970811
Megf6	0.844754861877677
Slc14a1	0.8444673579478402
Adora2a	0.8436735829563761
Ptprs	0.8427913744622002
Ccdc112	0.8427264575995072
Cst6	0.8406150118050625
Hist1h2ak	0.8390550448367271
Snora52	0.8390530021736734
Areg	0.8390527618376609
Ncam1	0.8372405707330809
H2-L	0.8363289180022216
Glis1	0.8346479715686489
Afp	0.8334024765159137
B3gnt9	0.8293295484196692
Gnai1	0.8286325477787716
Etl4	0.8275325088703069
Scrn1	0.8256272624011747
Afap1l2	0.8245610838802018
Mill2	0.8235874761717967
Bik	0.8228084459195238
4930447K03Rik	0.8225626105983472
Gm15408	0.8199435469655085
Lancl3	0.8179258538871682
Plxdc2	0.8157028598564385
Slit2	0.8146452403273431
Vcan	0.8130269675091597
Wnt2	0.8122864734619817
Clybl	0.8119406176722633
Fam120c	0.8114594567167908
Il11	0.81104095805769
Bdh1	0.8110395948111012
Ly6g5b	0.8110383096461392
St6galnac3	0.8098324269929803
Lefty1	0.8096740505982908
Tmem181c-ps	0.8073417033862844
Tst	0.805645528027659
Fez1	0.8055908736471655
Aldh1l1	0.8051070927670104
Gas2	0.8048357215294443
Znf41-ps	0.8042749006772013
D630032N06Rik	0.8025235540858907
Mir3074-1	0.8025197441988685
Scin	0.8014966276296774
Aebp1	0.8005900062116355
Xk	0.7998810272704989
Slc41a2	0.799712998429233
Kcnn4	0.7975367888872955
Ang	0.7950867736099749
Ube2cbp	0.7945788339153619
Piezo2	0.7937173485597597
2310040G24Rik	0.793142475489464
Sv2a	0.7917444231498671
2610035D17Rik	0.789665651716933
Car11	0.7896622702580954
Serpini1	0.7890959397989783
Gm13154	0.789009029975279
Syt11	0.7869005678724256
A330040F15Rik	0.7865827995212678
Cryab	0.7852310872311409
Adam8	0.7843715935091343
Ahrr	0.7827021367167711
Rab44	0.7827003210278576
Ms4a6c	0.7815652085767714
Acot2	0.7809493800725121
Zcwpw1	0.7801581555447308
AA388235	0.7801565158682627
Lipm	0.7794902108127633
Nradd	0.7781982507831795
C130050O18Rik	0.7776513451221327
1700025B11Rik	0.7776497826932702
Epdr1	0.7767653736359824
Gm17644	0.7760037609931617
S100a4	0.7758152043101729
Itgb7	0.7754842878341184
St3gal6	0.7749656296111527
Fam189a2	0.7746272762373184
Oas2	0.7727911619111251
Mvd	0.7724740216828873
Sftpb	0.7708478968394672
Slc2a9	0.7700299741015517
Lrp12	0.7681809910508889
Itgb5	0.7681684373132986
Tmem141	0.76789690911773
Phldb3	0.76641155298299
Aldh1a3	0.7659351374767286
Car7	0.7650475541453144
Fam189b	0.7644044746121533
Lurap1	0.7638683835689063
Rtp3	0.762021735253631
Chd3os	0.7613730649528634
Nxpe4	0.7609362746377266
2810408A11Rik	0.7596172554669434
C920006O11Rik	0.7596142104672392
Slc26a6	0.7562599097566193
Gm15706	0.7558594066033817
Pcdhb22	0.7546627886067603
Lss	0.7542798512058535
Ip6k3	0.7526162988126839
Eltd1	0.7514685732707003
Gm16548	0.7478375677212619
2610203C20Rik	0.7475709767410575
Jarid2	0.7473564724164797
Hist1h2bj	0.7459440122605063
Gm20337	0.7459427825517676
Tmem39b	0.7459412634439512
Abtb2	0.7459396932161215
Snora65	0.7459390435086388
4933431E20Rik	0.7413493591758975
Scml4	0.7412051875835464
Ppm1l	0.741044258054218
Aim1	0.7402735034233038
Lpin1	0.737175595572871
Sdc1	0.7345200566442874
Tmem179	0.7343564658151563
Lpcat2	0.7343509330263525
Entpd2	0.732134460068997
Msln	0.7314418151560791
Zhx2	0.730925633007647
Wfdc1	0.7306754277145703
Mpp2	0.7295161285766087
Trerf1	0.7289240831458517
Ecm2	0.7279577043561531
Lix1	0.7277943849421551
Tnnt1	0.7268850806641537
AA414768	0.7267904053350536
Ugt1a6a	0.7266034298290138
Mmp2	0.7254552789459622
Xrcc5	0.7237835641258693
Glp1r	0.7235760723723321
Nr1d1	0.7199658410885601
Sfn	0.7194782366983224
Gm5901	0.7194744396274877
H2-Q8	0.7176373073444207
Btg1	0.7164983871350609
Aldh1b1	0.7135218332822005
Gap43	0.7131391575407859
Qpct	0.7125676461232623
Atxn1	0.7119354088329256
Pla2g5	0.7114032332569744
Hk2	0.710618281094313
4930519F09Rik	0.7094160525271422
Ndrg2	0.7078123888160369
Rcn3	0.7061314976385002
Armcx4	0.7044181792879515
Leprel4	0.7041181508910026
Cyp51	0.7037375620442088
Ptgis	0.703525039677159
Tmprss11e	0.7024725155938574
Plxna4	0.7000085755548431
Tspan8	0.6994761170291743
Col5a2	0.6992401687434359
Immp2l	0.6970350845320409
Hsd17b7	0.6941446290579953
Ly6g6d	0.6925012462905862
Msi2	0.6898563153114916
Pid1	0.6885281837673074
Dlx1as	0.6870504232300109
3300002I08Rik	0.6870494584463798
A230056P14Rik	0.6870486645806426
B930003M22Rik	0.6870457071607614
Pdgfa	0.6860748516683787
Padi1	0.6859882813046982
Icosl	0.6836103818560193
Rhpn2	0.6816171392604004
Sdc2	0.6798317108338522
Fdps	0.6797774935158978
Acacb	0.6792316052216267
Slc35f2	0.6784344397886392
Sirt5	0.6777643127633667
Vps13c	0.6756405883046857
H2-Q5	0.6748584718997331
Nr1d2	0.6747297967767346
Ly6i	0.6745557707023905
D330045A20Rik	0.6745556608470955
Lamc1	0.6744043042475895
Suox	0.6733765458975719
Cisd3	0.6725626252506641
Slc22a18	0.6719574439951407
Grin1os	0.6719429282172547
A230050P20Rik	0.6704917212224121
Man2b2	0.6702517079622107
Gm4907	0.6697660681397212
Tef	0.6697583170385064
Gem	0.667940835604458
Nck2	0.665023167566243
Arhgap20	0.6634776019336119
Cd53	0.663207203496542
Mid1ip1	0.662804356651936
H2-Q7	0.6619520630559261
Gcnt1	0.6616752182239594
Rcor2	0.6611463746010252
Izumo1	0.6610557172686495
Gm15663	0.661047364303419
Lrp1	0.6591512412826404
1700025G04Rik	0.6582188693758744
Gp9	0.6575069913606169
Tnfrsf26	0.6563090230631097
Plb1	0.6554483366398774
Mcc	0.6553788070889041
Ass1	0.654335999816227
Rnf5	0.6541438854740952
Pcdhb21	0.6522849623460575
H2-Q9	0.6519733554607762
Arhgef28	0.6518222615734733
Pbx1	0.6515772410675049
Slc22a21	0.6510854604134656
Gaa	0.650968081865378
Dfna5	0.6493049394330671
Tmem38a	0.6492665204230723
A930012L18Rik	0.648978429056448
Cbs	0.6489466506321987
Atp2b2	0.6485164390115226
Camk2a	0.6483165008026807
Mtfp1	0.646407907081124
Cobl	0.646294389473755
Cd248	0.6449854073801894
Ephb1	0.6441001673407472
Xylb	0.6439760017810551
H1fx	0.6437914008629454
Megf9	0.6435017986658514
Stox2	0.6431510351069694
Acta2	0.6423920302313493
Saysd1	0.6404621942331086
Alox12	0.639693855619488
Hpse	0.6393528527652079
Pcyox1l	0.6385619898547472
1700003E16Rik	0.6355180200191283
Pdzd2	0.6331254206486294
Efna4	0.6321215465505109
Cox8b	0.6316152819082528
Myo10	0.6305307540749462
Lrrc75b	0.6304639099448821
Epha1	0.6298234614642633
Fasn	0.6291491069698781
Gm10865	0.628210995159802
Ptpre	0.6247418191280385
Mboat2	0.6245316990969138
Gm1673	0.6233205763292877
Clu	0.6221364897601583
Batf2	0.6219483275527798
Them6	0.6216333244205566
Gm2a	0.6215493832079694
Gm3716	0.620813169440219
Slc5a6	0.6201132851805662
Wscd1	0.6200914193617988
Bcat1	0.6176727573270377
Kdelr3	0.617609275485175
Flrt2	0.617451660060588
Metrnl	0.6173130050209561
Tnnc2	0.6166597590714673
Cubn	0.6158826376605375
Unc13b	0.6137270916613299
Lbh	0.6135920552240524
E530011L22Rik	0.6130476971864136
Selp	0.611496003319979
Msmo1	0.6097723287764097
Echdc2	0.6081419793415893
Pcdhb20	0.6071590678663129
Zfhx2os	0.6054620557336433
Vangl2	0.6049452052833998
Abhd3	0.6045852014630823
Dact3	0.6041706539944383
Lacc1	0.6011412219638929
Igf2	0.6004095660061606
Nuak2	0.599379532636362
Ak1	0.5992014706071088
Cep83os	0.5965322655756737
Cyp26b1	0.5953521552390212
Hdac9	0.5942975087397085
Fam171b	0.593942276128938
Mir1966	0.5939409435680303
Ppp1r14d	0.5939403765672489
Zdhhc14	0.5939394464387736
1700019D03Rik	0.5939393491337713
Tmem253	0.5939392349666281
Hist1h3g	0.5939382815856551
A630001G21Rik	0.593934867314992
Tubg2	0.5928329832438121
St3gal4	0.5922282988661514
Narf	0.5917441190760496
Lepre1	0.5914267446488941
Oplah	0.5897532270100967
Sec1	0.5890712013791458
Mir686	0.5890211643866057
Lamc2	0.5876849706800148
4833418N02Rik	0.5875109577315413
Sqle	0.5871556638543414
Col15a1	0.5862889102175652
Neurl2	0.5860334545080602
Kirrel	0.5852256996000695
Tnfrsf1b	0.5845759227854981
Inhba	0.5844785923443647
Creb3l3	0.5844774908313747
BC018242	0.5839439644458256
Slco2a1	0.5828502130903196
2310010J17Rik	0.581646033682465
Cd1d1	0.5815557340967847
Klhdc8a	0.5815540561597278
Jag1	0.5812666499829755
Lrig1	0.5795799788771391
Hap1	0.578176288209331
Acvr2b	0.5774886115713923
Tnik	0.5768833641292821
4930599N23Rik	0.5760176571135233
Emp3	0.5758328073614195
Traf1	0.5753207429279442
Zfp462	0.5751320135879708
Tmem229b	0.5749160040303152
Ereg	0.5748086661231232
Tmco6	0.5742574367058507
4732490B19Rik	0.5740387882412649
Rab27b	0.5740284366793886
Nlrc5	0.5722948914795596
Fkbp10	0.5717433078880177
Hipk4	0.5715712847918427
Epor	0.5708562309102246
Isl2	0.5708556966160769
Insl6	0.5708526882035778
Tlr2	0.5684045347119014
Slco5a1	0.567719860440985
D030028A08Rik	0.5672363769321367
Scpep1	0.5670625461986856
Lpcat3	0.5670011426138871
Ston2	0.5660278313602185
Tnxb	0.5652903178000273
D16Ertd472e	0.5650507229679974
Tap1	0.5650213231834998
Lphn1	0.5642252539787587
Zfand1	0.5641382667272353
Sele	0.5640242841148856
Cask	0.5635200747306861
Ppip5k1	0.5634153720704496
Gpx8	0.5633852027182745
Oas3	0.5633538685148415
Abhd14a	0.5617959299492007
Capn3	0.5617476726960158
Hist1h1a	0.5615205147363702
Aif1l	0.561516825043663
Nkx2-1	0.5615166090536986
Cyp4f41-ps	0.5615165946356606
Myl9	0.5615156172384356
S1pr4	0.5615138103615597
Wdyhv1	0.5609242895090137
Thrb	0.5597811051309701
Mrc2	0.5589424177402685
Pik3c2b	0.5587804175594275
Rtn2	0.5569525140339621
Prokr2	0.5567674720535056
Cdsn	0.5564650557222772
Orai2	0.5563531319929363
Cyp2j6	0.5561163763800235
Slc17a9	0.5560450392803353
Jade1	0.5558036024845585
Scd2	0.555282512368037
Gm4013	0.5552567642095666
Gstm7	0.5552554390119466
Gga2	0.555173814029516
Mmrn2	0.5538899900536122
Sema6a	0.5538728083018314
Dock8	0.5533763817613867
Fbxl12os	0.5532973182431251
Gas6	0.5519313864108197
Crlf1	0.5517671839688972
Pdxp	0.5507690057426229
Pfkl	0.5484691111077292
Nrp2	0.5459254391230268
Rdh13	0.5454960945764894
Nsun3	0.5446439845429742
Tmem41a	0.5442876246076317
Tiam2	0.5436888389171644
Slc36a1os	0.543315196495693
Plec	0.5431279607287759
2810442I21Rik	0.5427048818109321
Ankrd37	0.5424064116492183
Fbxl21	0.5418551863067433
Nedd4l	0.541779343270195
Tcp11l1	0.5409380444650329
L2hgdh	0.5408293607875067
8430419L09Rik	0.5403165945131521
Ptprcap	0.539493026711402
Sfxn5	0.5382154256660606
A930013F10Rik	0.5369074165084213
Naaa	0.5362956532409378
Ralgapa2	0.5358013603236425
Atp1b1	0.5350480760654407
Calcb	0.5344321680442866
P2rx7	0.5337801014800482
Arhgap44	0.5337673917714194
S100a14	0.5333342993355072
Abcg2	0.5330888215360812
Ccdc109b	0.5323694124304706
March3	0.5320784699369109
Mcoln2	0.5320699334670485
Phospho1	0.5302965304380357
Ociad2	0.530230656601085
Col13a1	0.5289611743101337
Greb1l	0.527356462963167
Igf2r	0.5271925573690744
Rnf39	0.5269599262008205
Wnt6	0.5266942945429279
Dhcr24	0.5263684587063692
Lamb2	0.5258041637407818
Cox18	0.525712181742512
Dusp10	0.5253049512245885
Chd3	0.5252239841575237
Cd276	0.5246176099681576
Nlrc3	0.5239704567814698
Pde6h	0.5235526005737492
Ydjc	0.5225214674233725
Rd3	0.5219000211527276
Piwil2	0.5218623805093603
Ctsc	0.5215310968363117
Arrb2	0.5213670479678459
Hcfc2	0.5206320532883107
Dnmt3b	0.5205681331014999
Nav3	0.5205642828198171
Dync1i1	0.5202803475249965
Vsig10l	0.5202246755764917
Pogk	0.5201150523732785
Mex3b	0.5194085958816264
Trpv2	0.519082801383046
Idh1	0.5182154465575252
Gtf2ird2	0.5175284154018273
Mir1957b	0.5171201556964411
Pde8b	0.5170906045843094
Flnb	0.5164036453853011
Pcdhb15	0.5159364629379468
Ahr	0.5157937410371252
Phyh	0.5151583717318626
Slc35a2	0.5141626391716952
Naprt1	0.5138348989450069
Mfsd3	0.5136465897510325
Mif	0.5123389793069039
Dnajc24	0.5118217974681606
Cdk3-ps	0.5114795976925076
Mir143hg	0.5114770282849757
4931440P22Rik	0.5114760397713024
Mogat2	0.511099511687064
Cacfd1	0.5107117088033539
Krt80	0.5105180681965955
Mmd	0.5093980182697707
Nmnat2	0.5088668370508843
Trpm4	0.508677625862748
Gnat2	0.5080777390789974
Tdg	0.5077313398859513
Acaca	0.5069637827805159
Lmf1	0.506943189908465
Lrp8	0.5066909709556209
Fkbp11	0.5055442555397646
Gdap10	0.5055416091966533
Sox4	0.505255010220326
Arhgap9	0.5049331410162061
Loxl4	0.5041515367816152
Qtrt1	0.5035845747236537
Rnasel	0.5032446571747158
Col3a1	0.5031755018128656
Ctdsp2	0.5018046264381959
Syne2	0.5009968174855364
Klra18	0.4997166447843966
Tmem173	0.49936664203684605
Gm14057	0.4993001517466904
Ppp1r3b	0.4985612866983932
Acsl3	0.498434516767356
Themis2	0.498013720503906
Ninl	0.4980136993381461
Hapln4	0.4978204399056152
St3gal5	0.49775865404071074
Lmtk3	0.4972604492952883
Dse	0.4967730028512246
Mterf1a	0.49601544539297454
2410004P03Rik	0.49534388702680116
Fbxl7	0.4952442761815099
Zfp827	0.49440282645255956
Ldlrad4	0.49378198681873287
Galnt15	0.493715882707587
Kcnb1	0.4933365765224277
Tbl1xr1	0.492757007692518
Fmn1	0.4924939216283368
Slc2a3	0.4923766032848897
Eva1a	0.4918550938469931
Clcn4-2	0.49153717266972297
Gja5	0.49137092775397184
Pcdhb16	0.49129851993765933
Aacs	0.4909174405022254
Sc5d	0.49082446044697303
Sorcs2	0.49051080394356156
Snta1	0.4904538956221321
Nt5dc3	0.4901763298823453
Gypc	0.49012828809831943
Lmbr1	0.4887530075116931
Itgb2	0.48842323606879784
Cthrc1	0.48814136689704407
Isoc1	0.4868727624474963
Prr22	0.4867551337506888
Tmem191c	0.4862927180037245
Psme2b	0.48593616294862313
Gnb5	0.4851635742521246
Kdelr2	0.4851626911297502
Plxnb2	0.48489763328119473
Mafb	0.4841352901614995
Gm12338	0.48291247779651764
Pgam2	0.4829088742784843
Pmm1	0.4825046093502639
1110046J04Rik	0.4824000819159185
Nudt17	0.48169817595285114
Dhx34	0.48162923126387824
Ppifos	0.48156386918441585
Bmp4	0.4813535600048182
Prex1	0.4811516159918695
Abca7	0.4809908236051442
Bach1	0.48046797841186906
Neo1	0.48011482297071006
Wdr41	0.4800570080819021
Ush1g	0.4798677834142462
Thpo	0.4796381664701672
Sgcb	0.47954633444215866
Marcks	0.47949227609817896
Ugcg	0.4794330943573211
Ddah1	0.4792191885763858
Lama3	0.47872095161233863
Strbp	0.47858783357761064
Macrod1	0.47845999455832533
Plod1	0.476944435092958
Slc25a29	0.4768621546678997
Hsph1	0.47612507360438366
Gm16062	0.47585469213588216
H2-M3	0.4756291853776266
Tsacc	0.47464204458690135
AY512931	0.47463867740489324
Zfp82	0.47424395392755136
Gpd1	0.47348184249951236
Alpk1	0.4732590742179241
Reep2	0.4729821076926239
Gna15	0.4729238289879421
Dbp	0.47292179808839946
Nfe2	0.47237396729322556
Asl	0.472193428647017
Ano8	0.47217936381567505
Gucy1b2	0.47132328089672026
Scx	0.47131904487791193
Lyplal1	0.47131819376706297
Tor2a	0.4712398206386362
Lama4	0.4710104766516287
Tspan15	0.47008779219202523
Bok	0.4700491962726252
Atl1	0.4698504837994519
Batf3	0.4698124703748549
Gramd3	0.468128287989437
Prox2	0.46787336842741034
1700094D03Rik	0.46755971914831296
Dhh	0.46665910453077514
Gpr183	0.4664496579810556
Fzd2	0.46583384751787643
Rrp12	0.4657570676680496
B230217O12Rik	0.46553687692761925
Fbln2	0.4655115043765614
Rasa4	0.46504343314881547
Aldh3b1	0.4650244012569227
Ttyh2	0.46453109512059043
Zfhx3	0.4628485416517954
Nefl	0.46273986864840444
Fitm2	0.46256487705947347
Rhof	0.4619743635305666
B4galt5	0.46171249077455745
H2-Q4	0.4617031592223416
2610524H06Rik	0.46162390165963774
Acat2	0.46143509466248844
Slc37a4	0.46126011511886095
Prob1	0.4602351988552986
Slc27a4	0.4599105606817744
Usp53	0.4596382283309937
Col18a1	0.45959314849155997
Klrg2	0.4581707109772598
Nrn1	0.4579604536027373
Mfap5	0.4577327899863579
Ptgs1	0.45739597892092015
Slc39a11	0.45681006317790374
Pf4	0.45680431564887397
Zap70	0.45676113819241587
Slc12a7	0.4567598000520486
Fam115a	0.4565818443044108
Irf2bpl	0.4552705411669053
Pard3	0.4550052871698092
Cad	0.4540270601499559
Aldh9a1	0.4540015654868018
Magea8	0.45376194368752976
Tmem63b	0.45361491061365494
Camsap3	0.4531962862082498
Lrrc1	0.4531552949479301
Asic1	0.45303860988172723
Snx30	0.45294621123813644
Vprbp	0.4527548665133612
Grtp1	0.45258369493863404
Smpdl3a	0.45251665154065807
P2ry6	0.45221142547293514
Snx18	0.45207830190806114
Emb	0.4516974217540143
Ppargc1b	0.45149419156115267
Efr3b	0.45078169912402416
Ldlr	0.45060823169443615
Ifi203	0.45059268999462865
2900076A07Rik	0.45049241070650775
Pcsk6	0.4503937888304455
Rcsd1	0.4503516090374202
Rac3	0.4500097733792202
Dag1	0.44995703491692485
Abhd16b	0.44954808269409935
Fads1	0.4493257245192881
4930470H14Rik	0.44888871604108815
Rnf122	0.4487793148371723
0610038B21Rik	0.44867672268169406
Gale	0.4485111599144747
Gtf2ird1	0.44845415608096456
Nav2	0.44845120574056896
Arap1	0.44819949468357745
Tfb1m	0.4467326885360908
Abcb6	0.44598115659821985
Bend6	0.4458213136470321
Cst3	0.4457694030247873
Rgs2	0.44567119224696644
Kif5c	0.4456532128879292
Hr	0.4455614734521225
Fam46a	0.4453079610262523
Map4k1	0.444335512344992
Btc	0.4439132615505098
Lgals3bp	0.44360913713614397
Akap1	0.44320467636032684
Stx11	0.44304305010447054
Mblac2	0.44163859497520286
P2ry1	0.44089008228747484
Ptch1	0.4405337982807043
Dennd4b	0.4404698572806266
Tmem44	0.4404598372755398
Mb21d2	0.4403169436759016
Hic2	0.4399562610442197
6030443J06Rik	0.4396111085318377
Ifi204	0.43890071447065304
Bdnf	0.4383592884859278
Adat1	0.43764013634560295
Plbd2	0.437629723656731
Slc43a1	0.4372089276246385
Nanp	0.43665784798281415
Gm19757	0.4366130130132888
Pced1b	0.4364704546527864
Pex26	0.4361892836980433
Ccl5	0.4361879257616144
Ppp1r3e	0.43607254641507914
Fkbp7	0.4360091712255416
Arhgap6	0.4358250710412823
Cyp4f16	0.4356243906209244
Fn1	0.435529338879198
Hoxb5	0.4352388843285853
Zswim7	0.43372862638469367
Sfmbt2	0.4336262643671178
Hist2h2be	0.433347593374388
Agap1	0.4333162067812106
Mdn1	0.43305506031112917
Mn1	0.4327969321911742
Stk39	0.43278278803934694
Robo4	0.43214719992764694
Fggy	0.4314530400927245
Crmp1	0.43145256345274247
Pqlc2	0.43115617202235146
Hspg2	0.431139144270676
Smyd5	0.43091410190806567
Prrg4	0.43080275097479076
Ly75	0.43034920335700283
Zfhx2	0.4302737232189015
Gm5424	0.43020766010504746
P2rx4	0.4298426927538564
Hvcn1	0.4297495310540102
Nphp3	0.42887960829359323
Ap1s3	0.4285762409243932
Samd4	0.42817735998857115
Ahi1	0.4278286275485935
Pura	0.42768911281051947
Gng10	0.42741581895904
Angpt2	0.42720892167621854
Tmem181a	0.4257147371594516
Slc16a10	0.42535372482308725
Uchl1	0.42497943746230116
5730409E04Rik	0.4246743478057362
Slc19a1	0.42433036355582593
Mir3062	0.4240177009456559
Mir215	0.42401764559988014
