,logFC,AveExpr,t,P.Value,adj.P.Val,B
P2rx6,5.060835752,-0.151464953,4.296354443,0.001284494,0.999996286,-4.591796975
Cd163,8.467090141,-0.056612496,3.885844406,0.00257167,0.999996286,-4.591949211
Perp,3.9203923,0.932447793,3.248590373,0.007824217,0.999996286,-4.590826192
Doc2b,4.885822297,-0.352325386,3.160062805,0.009154266,0.999996286,-4.592933939
Rasgrp1,2.994452586,0.741090363,2.988777273,0.012415346,0.999996286,-4.59163251
RGD1304810,2.489335401,0.420398353,2.977427444,0.012668975,0.999996286,-4.592177302
Mt1m,5.305095493,-0.802527703,2.899125836,0.014566655,0.999996286,-4.593533847
Cd101,5.581689883,1.696885594,2.856657676,0.015712654,0.999996286,-4.589634367
LOC100909954,5.657108465,1.370148213,2.760827791,0.018640762,0.999996286,-4.590761214
Phactr3,4.260964445,0.403985386,2.691626163,0.021087476,0.999996286,-4.592596234
Bst2,-2.724838578,0.214760745,-2.668274019,0.021983028,0.999996286,-4.592854371
Calb2,5.964113426,-1.106057503,2.644058376,0.022951471,0.999996286,-4.593909287
Cbln1,-2.690237592,1.168785154,-2.581361551,0.025659063,0.999996286,-4.591595117
RGD1309108,3.849618221,1.420954038,2.571398263,0.026117397,0.999996286,-4.591103426
LOC102546661,3.846038029,-1.090504418,2.517163082,0.028757094,0.999996286,-4.593993096
Sox7,-3.721658983,1.136600502,-2.462086742,0.03170499,0.999996286,-4.5919137
LOC103693813,2.562231375,-0.288247036,2.40327956,0.035178178,0.999996286,-4.593620991
Pcsk2,2.365346923,0.66542233,2.390569333,0.035976122,0.999996286,-4.59274203
Slc9a3,2.926179542,1.468883021,2.350566012,0.038603824,0.999996286,-4.59157537
Enpp6,-2.862177167,-0.029053171,-2.346659861,0.038870153,0.999996286,-4.593493491
LOC100361036,2.626322149,-0.05451667,2.341895905,0.039197375,0.999996286,-4.593519101
Il22ra2,2.284915314,0.757332324,2.32708736,0.040231628,0.999996286,-4.592741183
Kcnmb4,2.640504592,0.943265518,2.285888269,0.043249524,0.999996286,-4.59258032
Car2,-2.578336346,1.34368381,-2.272425956,0.04428209,0.999996286,-4.592006167
Nefm,-2.208643677,1.132681601,-2.263776328,0.044957984,0.999996286,-4.59236072
Grm7,-3.296471438,-1.252014133,-2.243400898,0.046589529,0.999996286,-4.594261099
Asb2,-4.006670811,-1.486509273,-2.239502541,0.046908093,0.999996286,-4.59434541
Klk4,2.715800591,0.285601421,2.233889457,0.04737045,0.999996286,-4.593385214
Alox5ap,2.138560535,0.332678468,2.216728142,0.048811276,0.999996286,-4.593369534
Ccl9,-3.305864477,-1.227852297,-2.209202695,0.049456235,0.999996286,-4.594276818
Mmp12,-5.416796844,-2.355732261,-2.192186371,0.050944754,0.999996286,-4.594565397
Flt4,-2.099608223,0.650406244,-2.171803942,0.052784011,0.999996286,-4.59314133
Chst7,-2.279307938,-0.195012285,-2.164610731,0.05344808,0.999996286,-4.593826746
Mgat5b,2.330294532,0.744727326,2.128638873,0.056889868,0.999996286,-4.593122054
Zbtb16,4.923671107,3.203203333,2.114499264,0.058299479,0.999996286,-4.587498169
Tmeff2,2.388580981,-0.37791197,2.094517588,0.060347964,0.999996286,-4.594008131
Irs4,2.906229256,0.178898578,2.092822493,0.060524838,0.999996286,-4.593670698
Rasgrf2,2.436140883,1.1992141,2.091781974,0.060633652,0.999996286,-4.592665554
LOC100362814,2.85069987,1.7684671,2.08874103,0.060952726,0.999996286,-4.591774292
LOC690437,2.852121743,1.179712468,2.075803854,0.062327964,0.999996286,-4.592728652
Gpd1,-2.24622634,0.410187284,-2.072400437,0.062694583,0.999996286,-4.593525513
Fam167b,-3.443798182,-0.600062946,-2.066822928,0.063299795,0.999996286,-4.594143144
Pde4c,2.138066605,-0.134914895,2.063314789,0.063683275,0.999996286,-4.593910711
Car3,-2.467421076,1.905296186,-2.037621029,0.066559244,0.999996286,-4.591688304
Orm1,5.721457314,-2.006422392,2.029428842,0.06750157,0.999996286,-4.594603005
RGD1559545,-2.982891433,-1.012110943,-2.021967907,0.068370655,0.999996286,-4.594343898
Asb9,2.887387409,-0.780101442,2.010532321,0.069723097,0.999996286,-4.594269891
Ephb1,-2.170879969,0.125973061,-2.002124443,0.070733389,0.999996286,-4.593831836
Hydin,2.35896056,-0.270598351,1.991759385,0.071997689,0.999996286,-4.59406691
A2m,2.06965791,1.278188791,1.985752052,0.072740073,0.999996286,-4.592821804
