,logFC,AveExpr,t,P.Value,adj.P.Val,B
Slc9a2,-3.165917728,-0.527460699,-1.979884145,0.073472117,0.999996286,-4.594197368
Trpc4,3.769584535,-1.294998561,1.978729231,0.073617003,0.999996286,-4.594464557
Lrrc2,4.468513858,-1.941778435,1.968667356,0.074890599,0.999996286,-4.594624806
Mt1a,3.192524802,-0.195348254,1.951680051,0.077087428,0.999996286,-4.594075855
Sgip1,-2.20553047,0.010640918,-1.936350627,0.079121098,0.999996286,-4.593987424
Galnt15,3.160872246,-1.017149367,1.935004881,0.079301987,0.999996286,-4.594415754
Mx2,-2.595807373,-0.506201175,-1.930415673,0.079921733,0.999996286,-4.594238544
Tf,2.676016852,1.710142994,1.93012036,0.079961766,0.999996286,-4.592381196
Cx3cr1,-4.166616604,-1.762216129,-1.899967313,0.084148484,0.999996286,-4.594627923
Olah,2.00744127,0.195685721,1.884148717,0.086424947,0.999996286,-4.593954297
LOC102547513,4.788923254,-2.54876152,1.882604653,0.086650167,0.999996286,-4.594727273
Prdm1,-2.613545726,1.418303848,-1.879955256,0.087037871,0.999996286,-4.592924068
1-Mar,2.050843112,0.141814672,1.860711792,0.08990213,0.999996286,-4.594017198
P2ry1,-1.654082717,0.687855448,-1.858385029,0.090254258,0.999996286,-4.593671368
Gal,2.208119298,0.818592791,1.857708584,0.090356867,0.999996286,-4.593570475
Nrarp,-1.955694028,0.239501666,-1.85245317,0.091157706,0.999996286,-4.593974707
LOC103693236,1.825479129,1.131694432,1.841484062,0.092850215,0.999996286,-4.59332805
LOC103692119,1.797835796,-0.021945007,1.833538951,0.094094039,0.999996286,-4.594136327
Tal1,-2.033575193,0.212807458,-1.82813906,0.094948079,0.999996286,-4.594024527
Oprk1,2.608159226,0.242323001,1.824675156,0.095499648,0.999996286,-4.594013418
Gstm6,1.682700122,0.491168852,1.823019711,0.095764282,0.999996286,-4.593868774
Nova2,-2.077608269,-0.6889354,-1.819783516,0.096283543,0.999996286,-4.594412419
Trim54,2.7257975,-1.022493203,1.815845003,0.09691896,0.999996286,-4.594513347
Esm1,-3.109031579,1.669517396,-1.814732857,0.097099078,0.999996286,-4.592798434
Sec14l5,2.533248505,0.929068063,1.807225658,0.098322912,0.999996286,-4.593581824
Fam46b,4.112893996,-2.215704393,1.798966407,0.099685563,0.999996286,-4.5947474
Mmp9,-4.291964959,3.300658107,-1.795000971,0.100345884,0.999996286,-4.589525131
Edn1,3.484032572,-1.339431008,1.786925025,0.101702992,0.999996286,-4.59461147
Lgi1,4.248392606,-1.780871844,1.786145938,0.10183479,0.999996286,-4.594698006
Slc4a1,2.363502194,0.207099259,1.782577716,0.102440408,0.999996286,-4.594092511
Col4a3,2.014120471,-0.036891086,1.779897963,0.102897377,0.999996286,-4.594211215
Tppp2,2.010955789,1.43689646,1.777231026,0.103353995,0.999996286,-4.593180169
LOC103690500,2.32849528,-0.617999311,1.776847839,0.103419753,0.999996286,-4.594430608
Prodh,3.596095144,3.086016599,1.776738394,0.103438542,0.999996286,-4.590266214
Nlrc4,-2.332922731,-0.515796509,-1.774029339,0.103904596,0.999996286,-4.594400445
Lat,-2.132337939,1.154298212,-1.766032448,0.105291464,0.999996286,-4.5934817
LOC102556202,1.647779101,0.842366987,1.759705366,0.106400591,0.999996286,-4.59374412
Rassf4,-1.892752511,0.841261378,-1.752892617,0.107606655,0.999996286,-4.593758295
LOC103690969,2.579034781,-0.860688083,1.740739166,0.109788872,0.999996286,-4.59453308
Gpr37l1,-2.840954111,-1.399974108,-1.738284164,0.110234495,0.999996286,-4.594657563
Tmem252,1.627582354,0.716294776,1.732998067,0.111199545,0.999996286,-4.593880895
Slamf9,-1.890679676,-0.467808984,-1.729005343,0.111933506,0.999996286,-4.594430669
Dpep1,3.318045918,2.502264198,1.720695172,0.113475108,0.999996286,-4.591888465
Cd300le,1.702063812,0.270888954,1.713077147,0.114905041,0.999996286,-4.594161327
Cd84,-1.7888195,0.539210487,-1.712563742,0.115001988,0.999996286,-4.594023242
Slc10a6,1.848306122,1.058017915,1.712377365,0.1150372,0.999996286,-4.593681946
M1ap,2.245990255,0.26170316,1.707262673,0.116007297,0.999996286,-4.594174147
Sult1d1,2.715773503,-0.820522095,1.69642912,0.118086329,0.999996286,-4.594561188
Ptger3,1.645412026,0.501325067,1.691995854,0.118946673,0.999996286,-4.594077973
Fbp2,1.813619736,0.695346529,1.690173244,0.119302001,0.999996286,-4.593971957
LOC102555066,2.148593197,-0.828771543,1.689991238,0.119337537,0.999996286,-4.594568836
Cntnap4,-1.766231138,0.57849391,-1.689718166,0.119390869,0.999996286,-4.594039872
Elavl2,-1.773881817,-0.27291934,-1.675412684,0.122214767,0.999996286,-4.594425257
LOC103691382,2.566638581,-1.48469982,1.674369896,0.122422924,0.999996286,-4.594715688
LOC100910265,2.671708162,-1.344246954,1.672805784,0.122735738,0.999996286,-4.594691894
LOC103692015,2.587426679,-0.989008025,1.669131667,0.123473344,0.999996286,-4.594623512
LOC103691378,-1.800747023,-0.478044216,-1.668937704,0.123512394,0.999996286,-4.594495142
Stk33,1.961308245,-0.21748111,1.666413144,0.124021647,0.999996286,-4.594417184
Batf3,-1.623205823,0.678041961,-1.65907263,0.125513001,0.999996286,-4.59403789
Cyyr1,-1.958851466,1.45692213,-1.653548019,0.126645916,0.999996286,-4.593495517
Slc28a2,1.715105483,1.149312666,1.65172594,0.12702155,0.999996286,-4.593749327
RGD1566029,-1.641913097,0.192736563,-1.646209333,0.128164874,0.999996286,-4.594291407
Mgst2,3.194885161,2.762698865,1.646068743,0.12819413,0.999996286,-4.59180146
Gngt2,-1.803278064,-0.126813962,-1.638977943,0.129677404,0.999996286,-4.594419052
Ano3,1.750485916,-0.274414907,1.637123887,0.13006774,0.999996286,-4.594468462
Gimap5,-1.502854186,0.193224747,-1.634744594,0.130570177,0.999996286,-4.5943072
LOC102551570,2.028102973,-0.921767995,1.632897953,0.130961317,0.999996286,-4.594638606
LOC102553895,-2.290922806,-1.413764462,-1.63096409,0.131372043,0.999996286,-4.594732436
Bcl2a1,-1.818403312,-0.433872563,-1.627993408,0.132005193,0.999996286,-4.59452462
Slc15a2,1.736783568,0.251472286,1.625540796,0.132529957,0.999996286,-4.594296624
Lgals9,-1.548951634,1.085865158,-1.620149574,0.133689949,0.999996286,-4.593864831
Grm4,-2.12872934,0.695784315,-1.618976721,0.133943488,0.999996286,-4.594100022
Adora2a,-2.129041463,1.170173817,-1.613560708,0.135119791,0.999996286,-4.593822107
Zyg11a,1.67055455,-0.16465911,1.611134561,0.135649672,0.999996286,-4.594464167
Mt2A,3.226600646,-1.190593704,1.609103792,0.136094608,0.999996286,-4.594709548
LOC102550089,1.500495399,-0.036684017,1.603323662,0.137368059,0.999996286,-4.594432447
LOC102547570,2.01310492,-0.60383352,1.60295376,0.13744991,0.999996286,-4.594593202
RGD1310641,1.437611243,0.298872707,1.602834323,0.137476348,0.999996286,-4.594310242
Clec10a,2.491045152,-0.903394479,1.599683322,0.138175451,0.999996286,-4.594662322
Ltk,-2.060632921,-0.258775825,-1.597568709,0.138646365,0.999996286,-4.594507881
Opcml,1.954543323,1.392365973,1.586751877,0.141077335,0.999996286,-4.593725754
Fmo3,3.821564386,-1.800203263,1.581360898,0.142302801,0.999996286,-4.594818405
Lcn2,2.958348363,3.275924557,1.578184397,0.143029234,0.999996286,-4.59121711
Znf750,-1.822808514,-0.600591234,-1.577544878,0.143175877,0.999996286,-4.594616574
Nrxn2,-1.228189829,0.624507434,-1.575998409,0.143531031,0.999996286,-4.594211006
Rprml,2.990759073,-0.787633637,1.571752757,0.144510029,0.999996286,-4.594662444
Dner,-1.750994584,1.063713349,-1.566394947,0.145753806,0.999996286,-4.593996226
Tagap,2.939885963,-1.366368937,1.554105162,0.148642151,0.999996286,-4.594776651
Mepe,2.343679539,-0.440490079,1.552090309,0.149120411,0.999996286,-4.594604085
Lmod1,1.548764372,0.692804387,1.540745903,0.151838279,0.999996286,-4.594240905
Ace,1.567067379,1.200399886,1.536456361,0.152877118,0.999996286,-4.593980339
Itgax,-3.846077665,-2.404950702,-1.529630538,0.15454291,0.999996286,-4.59488993
LOC103692958,-1.940489233,-0.945137576,-1.529587687,0.154553417,0.999996286,-4.594727534
Arhgap22,-1.488980072,0.493058751,-1.522881221,0.156205476,0.999996286,-4.594355117
Srcin1,1.433171936,0.609547559,1.522379734,0.156329624,0.999996286,-4.594308957
Gria1,-1.639957712,0.867438788,-1.521635209,0.156514095,0.999996286,-4.594193918
LOC500300,1.918677931,1.3276229,1.517796772,0.157468137,0.999996286,-4.59394528
Ism2,2.009371729,0.134976346,1.516658697,0.15775197,0.999996286,-4.594488671
Srgn,2.219707479,0.515280138,1.51533308,0.158083132,0.999996286,-4.594358543
LOC103693204,1.845319501,-0.737751896,1.509435874,0.159563647,0.999996286,-4.594707259
Ctcfl,2.638458282,2.093694147,1.507736892,0.159992397,0.999996286,-4.593362557
Rnase13,2.28388435,2.439128098,1.503781197,0.160994497,0.999996286,-4.593008017
LOC102552055,1.329888347,0.46654822,1.499570469,0.162067143,0.999996286,-4.594401849
B4galnt1,2.133782601,-0.512346244,1.497968033,0.162476964,0.999996286,-4.594673856
Gja4,-1.490254177,1.13474482,-1.49702258,0.16271918,0.999996286,-4.594107367
Col6a5,-1.703866092,0.617874682,-1.496951774,0.162737333,0.999996286,-4.594348487
Cabp7,1.821129266,0.861604905,1.495505289,0.163108546,0.999996286,-4.594246922
Tmem163,-1.357793299,0.404224018,-1.495185689,0.163190663,0.999996286,-4.594430752
Fcgr2a,1.575324783,1.031656592,1.493185671,0.163705353,0.999996286,-4.594169667
Aldh3a1,1.356008832,0.895777984,1.487328719,0.165220631,0.999996286,-4.594246983
Kcnt1,1.482914898,0.847974436,1.486713754,0.165380428,0.999996286,-4.594269848
Nes,-1.539450021,1.020686935,-1.477344666,0.167831413,0.999996286,-4.594208104
Fam69c,1.438754823,1.195946311,1.475003304,0.168448761,0.999996286,-4.594123923
LOC312273,-1.587361316,0.260263967,-1.474956693,0.168461071,0.999996286,-4.594507075
LOC103693769,1.679582007,-0.808358994,1.4731435,0.168940522,0.999996286,-4.594750964
Thsd7b,-1.401143507,0.712233693,-1.465342971,0.171016507,0.999996286,-4.594365702
Mir410,1.296878266,0.537666978,1.461115838,0.172150572,0.999996286,-4.59443738
Spi1,-1.240644647,0.658558257,-1.458191774,0.172938797,0.999996286,-4.594398622
Vegfc,-1.302577471,0.450995089,-1.456925059,0.173281214,0.999996286,-4.594473266
LOC100911545,1.395904513,0.262851942,1.455589135,0.173642966,0.999996286,-4.594533388
LOC103692336,1.495801657,0.260600104,1.455479353,0.173672722,0.999996286,-4.594534197
LOC102548914,1.877665295,-0.813220783,1.453059598,0.174329697,0.999996286,-4.594768682
Mlxipl,1.867752039,1.367120942,1.445722481,0.176334714,0.999996286,-4.594100128
Slc36a2,-1.938587783,-0.775398392,-1.445573433,0.176375647,0.999996286,-4.594769073
LOC102556346,1.597477766,-0.364428741,1.445444187,0.176411148,0.999996286,-4.594696655
Gda,2.177585535,-0.063952254,1.445203871,0.176477174,0.999996286,-4.594632279
Ncf4,-1.401444228,0.063922816,-1.444657775,0.17662729,0.999996286,-4.594601865
Atp6v0d2,-3.294148239,-1.425459068,-1.441497934,0.177498033,0.999996286,-4.594858355
Mfng,-1.682431715,1.163576506,-1.440583214,0.177750778,0.999996286,-4.594217773
Grin2c,-1.373085709,0.670545015,-1.439470671,0.178058595,0.999996286,-4.594426232
Mmp15,-1.951719886,1.605024536,-1.436213078,0.178962506,0.999996286,-4.593984497
Dok3,-1.350224366,0.257637977,-1.430367862,0.180594189,0.999996286,-4.594569915
Adcy10,1.693340164,-0.584888793,1.429235438,0.180911757,0.999996286,-4.594752633
Csmd2,1.696907228,1.783670116,1.427584534,0.181375571,0.999996286,-4.593892908
Cdh12,-1.332879607,0.342946243,-1.427049431,0.181526122,0.999996286,-4.594550799
Btla,1.32224282,0.265934426,1.425322683,0.182012663,0.999996286,-4.594574651
Slc37a2,-1.966321459,2.088559379,-1.421231024,0.183169967,0.999996286,-4.593689289
Syt10,-1.66938111,-0.305902623,-1.41679995,0.184430283,0.999996286,-4.59471511
Rgs7bp-2,1.698444313,1.615261459,1.413308281,0.185428562,0.999996286,-4.594042824
Abcb4,-1.601345508,-0.516292783,-1.407880057,0.186989558,0.999996286,-4.594761259
Zic3,-1.45434066,1.041726633,-1.407530984,0.187090319,0.999996286,-4.594343078
Crtac1,-1.280149541,0.288003282,-1.405066078,0.187803125,0.999996286,-4.594596975
Fcrl2,-2.443534379,2.38998307,-1.403373309,0.188293967,0.999996286,-4.593505472
Lmo3,-1.209353803,0.557335914,-1.401601672,0.188808834,0.999996286,-4.594526289
RGD1564469,-1.446523962,-0.180868768,-1.401374576,0.188874917,0.999996286,-4.594707672
Ankrd35,1.898730769,-0.440160769,1.400581778,0.189105769,0.999996286,-4.59475562
Azgp1,1.306777221,0.336060294,1.394627111,0.190847279,0.999996286,-4.594599171
Rfx4,1.467522473,1.16304076,1.394624245,0.19084812,0.999996286,-4.594319397
Tnni1,3.630817498,3.069985664,1.392789931,0.191387295,0.999996286,-4.592829666
Fam110d,-1.374695692,-0.024103024,-1.391865283,0.191659569,0.999996286,-4.594686927
LOC103690031,-1.474699605,-0.321027029,-1.390794734,0.191975211,0.999996286,-4.594744996
Eva1c,1.57891051,1.103109936,1.385405941,0.193570682,0.999996286,-4.594364178
LOC103691353,1.478825357,-0.158821037,1.380860976,0.194924943,0.999996286,-4.594726264
LOC102547612,3.46097334,-2.004406364,1.379685594,0.195276459,0.999996286,-4.594944161
Tmem255a,-1.309018742,0.211139641,-1.376926862,0.196103584,0.999996286,-4.594654182
Klhl4,-1.481539677,0.544834058,-1.374990356,0.196685937,0.999996286,-4.594572156
Mlph,2.64361008,2.425845768,1.370311906,0.198098822,0.999996286,-4.593618491
Itgb6,2.808096041,-1.16794123,1.367148408,0.199058988,0.999996286,-4.59488054
Hsd17b13,1.441329914,1.126334736,1.362280158,0.200544149,0.999996286,-4.594404116
LOC100362572,1.459598639,0.038125904,1.359891304,0.201276288,0.999996286,-4.594712813
Calr4,-1.411467077,0.31752429,-1.357692752,0.201952068,0.999996286,-4.594655845
Inca1,1.220539631,0.494099376,1.356497648,0.202320204,0.999996286,-4.594614458
Trpv1,1.333441453,0.050986445,1.355916069,0.202499554,0.999996286,-4.59471513
Sntg2,-2.235105155,-1.251800093,-1.353517747,0.203240555,0.999996286,-4.594898273
Pcdh12,-1.980666462,1.809712044,-1.350653393,0.204128496,0.999996286,-4.594115066
LOC102548405-2,1.633268527,-0.925780708,1.343056434,0.206499137,0.999996286,-4.594872479
Fmo2,2.233788975,2.037899509,1.342634495,0.20663147,0.999996286,-4.59400703
LOC100910973,-1.648599642,1.283914079,-1.342580309,0.20664847,0.999996286,-4.594386348
Slc35f3,1.344738241,0.661202438,1.339887152,0.20749484,0.999996286,-4.594596776
Mrap,1.392473574,0.445027865,1.338587284,0.207904371,0.999996286,-4.59465347
LOC102555032,1.357140503,0.12311012,1.333348751,0.209561587,0.999996286,-4.594729147
LOC102549294,1.644638227,-0.616008557,1.331319702,0.210206406,0.999996286,-4.594845988
Kera,-1.431012683,1.501367589,-1.32818887,0.211204578,0.999996286,-4.594331123
Gabra1,-1.350915903,0.813896301,-1.327755523,0.211343046,0.999996286,-4.594575194
Cbs,3.406111473,-1.730993337,1.323187309,0.21280729,0.999996286,-4.594955498
Fam78a,-1.398975111,0.637642424,-1.322167488,0.213135311,0.999996286,-4.594631968
Rwdd2a,-1.14708006,0.634559599,-1.320171358,0.213778564,0.999996286,-4.594635978
Lrrc9,1.501001928,-0.629323574,1.319367987,0.214037901,0.999996286,-4.59485816
Astn2,-1.339841206,0.187112896,-1.313319911,0.215998608,0.999996286,-4.594742591
LOC103694018,1.708075473,-0.628043145,1.309561611,0.217224419,0.999996286,-4.59486661
Map3k8,1.240253293,1.265311486,1.30169452,0.219808846,0.999996286,-4.594486281
Dll4,-2.267437672,2.285737723,-1.301654667,0.219822002,0.999996286,-4.594006042
Slc24a4,-1.309432756,0.008117626,-1.301415693,0.219900904,0.999996286,-4.594788205
Acsbg1,1.804281818,-0.660976873,1.298015425,0.221026086,0.999996286,-4.594880309
Ppl,2.211110111,2.705403999,1.297017202,0.221357301,0.999996286,-4.593735823
Ogn,-1.316400127,-0.148661276,-1.296219347,0.221622325,0.999996286,-4.59481791
Aqp11,2.202203683,-1.146093688,1.291869361,0.223071827,0.999996286,-4.594930968
LOC102549898,1.817273637,-0.839157047,1.289050899,0.224015122,0.999996286,-4.594905858
Cdkn2b,1.632711188,0.391813949,1.288018304,0.224361528,0.999996286,-4.594738068
Sost,-1.980479459,-1.011207358,-1.282197824,0.226322319,0.999996286,-4.594926573
Oscar,-1.773236854,-0.95970842,-1.278590512,0.227544532,0.999996286,-4.594924834
Ctxn1,-1.235248114,-0.015399255,-1.278092344,0.22771374,0.999996286,-4.59481898
Fam131b,1.195333019,0.254407941,1.277764758,0.227825064,0.999996286,-4.594776941
Timp4,2.258469651,3.145104044,1.276116772,0.228385773,0.999996286,-4.593487376
Kif19,1.343419077,1.520061619,1.274066571,0.229084896,0.999996286,-4.594462821
Ccnb1ip1,1.188605035,0.149383396,1.273809707,0.229172609,0.999996286,-4.594799207
Vwa3a,1.533562414,1.081307247,1.27231717,0.229682819,0.999996286,-4.594605349
Nfkbid,-1.15689954,0.065593261,-1.271940437,0.229811747,0.999996286,-4.594814308
Cntn4,-1.798720996,-0.401694944,-1.270033028,0.230465417,0.999996286,-4.594876989
Gipr,1.959176755,0.651625496,1.26970869,0.230576718,0.999996286,-4.594713481
LOC100910079,1.149998497,0.3385918,1.269322967,0.23070914,0.999996286,-4.594773821
Mfap5,1.19866139,1.333779821,1.26864558,0.230941843,0.999996286,-4.594538985
Actn3,1.370728299,1.282971775,1.268216001,0.231089515,0.999996286,-4.594555721
Adrb2,2.114603104,2.526450747,1.266021273,0.231845169,0.999996286,-4.594006617
Lrrc7,-1.422719153,0.758003975,-1.265069412,0.232173521,0.999996286,-4.594698261
Ackr4,1.299842228,1.766187009,1.262822639,0.232950057,0.999996286,-4.594399795
LOC102546902,1.403459635,1.717110356,1.261444721,0.233427336,0.999996286,-4.594423068
Nt5c1a,1.151190457,0.733824305,1.260798611,0.233651406,0.999996286,-4.594710686
Klhl41,1.225120504,0.15094487,1.257570844,0.234773399,0.999996286,-4.594819184
Sel1l3,-1.919135152,-0.971307922,-1.256657895,0.235091535,0.999996286,-4.594942047
Ntm,-1.941928786,-0.917112413,-1.254350608,0.23589711,0.999996286,-4.594939474
LOC103693261,1.171686852,0.093050985,1.252775548,0.236448311,0.999996286,-4.594833363
Hsd11b2,-1.056717781,0.549019444,-1.252269839,0.236625507,0.999996286,-4.594760817
Pla2g2a,-1.171318176,0.776172295,-1.246841631,0.238534258,0.999996286,-4.594725304
LOC103691312,1.527617101,-0.520545593,1.246707952,0.23858142,0.999996286,-4.594911014
Mx1,-2.38601176,-1.479382643,-1.243933067,0.239562106,0.999996286,-4.594984576
Ugt1a6,1.564009723,1.277089004,1.24318147,0.239828289,0.999996286,-4.594613193
LOC100912445,1.274043117,0.398937366,1.242261558,0.240154406,0.999996286,-4.594801147
LOC103691871,-1.474697268,-0.389091778,-1.241519305,0.240417801,0.999996286,-4.594902885
LOC102554492,1.168990273,0.835161674,1.241394425,0.240462139,0.999996286,-4.594722498
Slitrk2,-1.318122294,1.792650492,-1.240647141,0.240727594,0.999996286,-4.594454516
Cd300a,-1.185380458,0.30090705,-1.238763166,0.241397876,0.999996286,-4.59482108
Mmrn2,-1.829717797,1.988055758,-1.236313349,0.242271716,0.999996286,-4.594392301
Myo18b,-1.372789266,-0.235745575,-1.235766122,0.242467256,0.999996286,-4.594892609
Nnmt,1.786364173,-0.624279711,1.230463232,0.244368703,0.999996286,-4.594934558
Lpar3,-1.202625164,0.883106382,-1.230351687,0.244408827,0.999996286,-4.594732105
Oacyl,1.316619224,-0.29992121,1.22712518,0.245571738,0.999996286,-4.594907913
B3gnt4,1.705327521,-1.127844516,1.226169096,0.245917184,0.999996286,-4.594974665
Adra2b,-1.413940682,-0.729262372,-1.221545586,0.247593206,0.999996286,-4.594950384
Ntn5,-1.112116452,1.132313135,-1.219026887,0.248510068,0.999996286,-4.594700299
Abat,1.200445775,0.100537506,1.217538592,0.249053114,0.999996286,-4.594874604
RGD1560723,-1.117787805,0.089291232,-1.217481293,0.24907404,0.999996286,-4.594876014
Ifitm10,1.737167357,2.128370575,1.211483793,0.251272141,0.999996286,-4.59442069
Adra1b,1.251687958,-0.135153881,1.21119146,0.251379676,0.999996286,-4.594907697
Tlr8,-1.025979731,0.627673767,-1.209687161,0.251933612,0.999996286,-4.594812516
Sult1a1,3.172763218,4.12406141,1.20778504,0.25263543,0.999996286,-4.593129998
Slain1,-1.711318618,-0.892907877,-1.206207473,0.253218678,0.999996286,-4.594973833
RGD1566368,1.456192219,-0.681572111,1.205936537,0.253318954,0.999996286,-4.594959546
LOC102553773,2.972838156,-1.930368869,1.205556064,0.253459825,0.999996286,-4.595026209
Shisa8,-1.017452748,1.001274047,-1.205354553,0.25353446,0.999996286,-4.594754349
Htr1b,1.300050056,0.274939786,1.204716469,0.253770906,0.999996286,-4.5948692
LOC103692968,1.45471664,0.589976264,1.200850287,0.255207294,0.999996286,-4.594831791
LOC103693696,1.227078813,0.682556107,1.20042816,0.255364516,0.999996286,-4.594818397
Tlr7,1.244374266,1.505989137,1.198043283,0.256254208,0.999996286,-4.594657942
Opn4,1.238262849,-0.104151371,1.197839088,0.256330498,0.999996286,-4.59491886
Cd96,-1.927852128,-1.203818258,-1.196382815,0.256875105,0.999996286,-4.594998814
Fam115c,1.223024894,0.546348649,1.196117338,0.256974485,0.999996286,-4.594845153
Fzd7,1.151088438,0.586855271,1.196117308,0.256974496,0.999996286,-4.594839388
Usp18,-1.549491074,-0.610046118,-1.195427712,0.257232785,0.999996286,-4.594963144
Mug1,1.589237459,-0.582557256,1.194503288,0.257579352,0.999996286,-4.594961957
Dgkb,1.063473439,0.406052546,1.193433056,0.257981044,0.999996286,-4.594867712
Slco1a2,-1.2690737,-0.430170384,-1.1923459,0.258389596,0.999996286,-4.594952473
Rbfox1,-1.163328871,1.054835961,-1.192070441,0.258493194,0.999996286,-4.594769413
LOC102547925,-1.472396887,0.305593166,-1.19181238,0.258590279,0.999996286,-4.594882215
Ncf1,-1.381623085,1.552040953,-1.1896642,0.259399564,0.999996286,-4.594667215
Myo16,2.724298165,2.651480533,1.189648095,0.259405639,0.999996286,-4.594286643
Ttc21a,1.078689015,0.495928168,1.18900026,0.259650095,0.999996286,-4.594862343
Wscd1,-1.665794004,1.752091495,-1.186204339,0.260707207,0.999996286,-4.594623928
Tubb4a,-1.190980072,0.252501759,-1.18614657,0.260729085,0.999996286,-4.594895588
Liph,1.328964102,-0.27195796,1.185078501,0.261133834,0.999996286,-4.594946799
Ccdc60,1.351970625,-0.603035338,1.184928199,0.261190832,0.999996286,-4.594971509
Slc30a2,1.28158473,-0.521920009,1.180268758,0.262962657,0.999996286,-4.594969971
Fgf2,1.487847619,1.705110221,1.179745052,0.263162395,0.999996286,-4.594654292
Ceacam1,-1.259738886,-0.577456469,-1.177367818,0.26407056,0.999996286,-4.594976201
