Ensg	CD-coefficient	Significance
ENSMUSG00000105703	0.48087359801731583	0.0009470059881411252
ENSMUSG00000058207	0.34831225386171244	0.020890224460954454
ENSMUSG00000056035	0.26690499115317284	0.019522634389120164
ENSMUSG00000001670	0.2210493884757303	0.00407876395912112
ENSMUSG00000064351	0.17295297218588582	0.02363324131108513
ENSMUSG00000031722	0.17103356999954497	-0.008605102940834386
ENSMUSG00000028011	0.16606585989666311	0.004580368326045803
ENSMUSG00000064370	0.13549091494974053	0.02365877916492032
ENSMUSG00000028088	0.12113364280890136	0.00393224243043605
ENSMUSG00000064367	0.11708588208499247	0.023651096545032835
ENSMUSG00000064341	0.11522869373061355	0.023614972018159208
ENSMUSG00000037798	0.07440110583546022	-0.00399453706878683
ENSMUSG00000032083	0.07225376448800176	-0.008832520904032304
ENSMUSG00000021091	0.07159906029286815	0.03643630045763069
ENSMUSG00000035686	0.07077654696908159	-0.006657818210031363
ENSMUSG00000079012	0.07075396604035178	0.023108690066633075
ENSMUSG00000076441	0.06852857093006419	0.023814821290297883
ENSMUSG00000074768	0.06736593922304293	0.024088368919267023
ENSMUSG00000033022	0.06283077815919784	-0.008652146710626474
ENSMUSG00000064345	0.058349650116213375	0.023625416639495356
ENSMUSG00000029695	0.053433285944118454	-0.004787114545062754
ENSMUSG00000031482	0.05160085750157575	-0.008348430419939268
ENSMUSG00000056091	0.05015386674736319	0.019567382660576116
ENSMUSG00000020593	0.04731756522063203	0.03525527933330519
ENSMUSG00000059908	0.04559633995562965	0.021783211997417062
ENSMUSG00000026839	0.04440366497707888	0.012657151362760244
ENSMUSG00000029445	0.04233185167317995	-0.0037465940617213422
ENSMUSG00000031762	0.04215139153171633	-0.008638509573112796
ENSMUSG00000028715	0.04136060909871937	-5.9263374977025496e-05
ENSMUSG00000040017	0.039896453612554436	0.00030292844232848726
ENSMUSG00000031765	0.03954159313197293	-0.00864011013963456
ENSMUSG00000003721	0.037787562431899284	0.011286369443112926
ENSMUSG00000074115	0.037031848807958075	0.024259884505724916
ENSMUSG00000026473	0.035365898727285315	0.015756758789012504
ENSMUSG00000026822	0.03334528029842041	0.012819124379577718
ENSMUSG00000029597	0.03236350907784989	-0.004373792961456624
ENSMUSG00000031700	0.030868747906393677	-0.008587594901253104
ENSMUSG00000064356	0.030658901948710456	0.023638415992778827
ENSMUSG00000029273	0.030658501096139906	-0.003017744415649559
ENSMUSG00000034926	0.029281056417225282	-0.007392507239697643
ENSMUSG00000024222	0.028041905327624583	0.030378677278627586
ENSMUSG00000064363	0.02802396806456875	0.023648553651893
ENSMUSG00000049404	0.0250094082564447	0.013317275550710495
ENSMUSG00000027875	0.02500656203628345	0.005445480986181972
ENSMUSG00000066072	0.024877182924075796	0.023857154183207774
ENSMUSG00000025190	0.024195659231069352	0.024419712624172696
ENSMUSG00000030483	0.023082908829604766	-0.006689296049029958
ENSMUSG00000020051	0.02287416939693625	0.03296707492731335
ENSMUSG00000025533	0.02179098420424896	0.021936720623909223
ENSMUSG00000031545	0.021766432476330356	-0.00843725970557413
ENSMUSG00000026064	0.021515050686559622	0.01880177869960631
ENSMUSG00000027346	0.02114752485598662	0.009069147929463228
ENSMUSG00000078566	0.020081375745784155	0.02348218202367902
ENSMUSG00000031596	0.019896796361940836	-0.008493529545539502
ENSMUSG00000022244	0.019686072851907356	0.03616940138893135
ENSMUSG00000098178	0.019442842389704583	0.009407562138122771
ENSMUSG00000022270	0.01867310001751454	0.03611702438726397
ENSMUSG00000028211	0.01730018221711988	0.0031394276851500758
ENSMUSG00000011305	0.016461852958025165	0.022750516833801943
ENSMUSG00000026691	0.016442027453092947	0.013892870952671776
ENSMUSG00000105263	0.016222138285540245	0.0017515423362212124
ENSMUSG00000019368	0.01617235200152603	0.03155355166326665
ENSMUSG00000032081	0.015255116001445357	-0.00883201410116774
ENSMUSG00000067279	0.015241957197906582	0.024049765866210215
ENSMUSG00000020108	0.014894233841194504	0.0332721337430391
