gene_name	CD-coefficient	Significance
Fth1	0.28018398462689365	-0.1420350479607775
Actb	0.2792179821607244	-0.022168197230437253
Bhlhe41	0.17423050846710753	-0.05059404870445772
Rhob	0.16804947599520648	-0.21676947731646812
Actg1	0.1673064663672274	-0.022236331380856865
Aldh1a1	0.14466866282162152	-0.028270726514482418
Rbbp7	0.13745567239058207	-0.22260243928230006
Hspa5	0.1193096776972128	-0.2850262615910463
Scd2	0.11533085840529908	-0.19460814265639637
Cyr61	0.10955088735381595	-0.09462080110771115
Spp1	0.1047658021092185	-0.15235873110254117
Malat1	0.09826121795993961	-0.28287075972546644
Sinhcaf	0.09821197778618071	-0.1814567100104526
Rps24	0.08881920723696762	-0.2038812784645625
Heg1	0.08601468731108827	-0.28386814801758853
Tubb6	0.0821440754350648	-0.08030464810007865
Cst3	0.07802806787658216	-0.0904389194173508
S100a6	0.0767351631300798	-0.1980505394205313
Per1	0.07231574138131704	-0.25403332953614366
Kras	0.0698222213039812	-0.28497837813133914
Calr	0.06943431584596728	-0.059048716112860056
Fkbp5	0.06824886399973817	-0.13844842433507776
Smarca1	0.06780056122169642	-0.16739192625739951
Zyx	0.06712327377611688	-0.0006108544574598973
Hsp90b1	0.06684141914729415	-0.2849968300380384
Mt1	0.065001934812328	-0.2754233469363519
mt-Nd5	0.0648118764170121	8.956900913947852e-05
Myh9	0.06332843475759448	-0.27397059863829776
Nudt4	0.062375873674326926	-0.26438898697309704
Psap	0.05524361672642836	-0.2343354588703609
mt-Nd2	0.05446376365618706	-2.1872834795710894e-05
Cp	0.05389622359934932	-0.08655389001345505
Hsd3b1	0.05233037109660296	-0.28495843829449646
Lmcd1	0.05153995347856576	-0.2842426110695056
Rplp0	0.05099338286911831	-0.2061127793592361
Agt	0.050811576150370276	-0.02625072048683884
Gstm2	0.04936569138639467	-0.2827330489317682
Mat2a	0.04752096719033828	-0.2821148689540814
Abcb1b	0.04748001546309741	-0.019201067023066544
Aldoa	0.0474521806520659	-0.02867289063369278
Gapdh	0.04641089699461231	-0.14533056487549428
Gstm1	0.045216403035359495	-0.28272644836131544
Pdia3	0.04488112861554125	-0.25514169329705627
Tns1	0.04282869832363219	-0.10098353680541405
Id1	0.042810056233554404	-0.28516564957917834
Pkm	0.04278326544657466	-0.24888140622884258
Stk38l	0.04254028152251067	-0.14366980198701107
Ywhah	0.04246964426579102	-0.03887092750000609
Sgk1	0.04221231039395655	-0.18554329612790477
Col5a1	0.042180325533334395	-0.08387694636226736
Srf	0.04025343818563986	-0.14995409476011967
Aebp1	0.04020568682402994	-0.025259021056457193
Tsc22d1	0.03964564443674284	-0.0872279522524313
Jun	0.039643747732852175	-0.28548135788943646
Srrm2	0.038608861844883324	-0.14891251194249333
Hyou1	0.03845491368718333	-0.2851232084629143
Slc7a5	0.037839690535415624	-0.16976628806348248
Sulf2	0.03755467839340756	-0.1403981418335608
Serinc3	0.037370295290066996	-0.18887695678608085
Acy3	0.03720863178896651	-0.022876066593099653
Fkbp1a	0.036541459032228864	-0.13830283764688306
Igfbp7	0.03586185077644146	-0.285329822483533
Abhd2	0.03532283612451496	-0.020106827351343316
Sdc4	0.035162346441315925	-0.19284413669914646
Vcl	0.035142011187094216	-0.0602594964574128
Kitl	0.034772293509108376	-0.28520645735679817
Hspa8	0.033818616615340406	-0.2850288946657896
Serinc5	0.03375830806501163	-0.1888389923889674
Sqstm1	0.033700222904282436	-0.15054635035346142
Ace	0.033132622230076125	-0.021235180087084984
Mthfd2	0.032921691728337255	-0.27509864037287846
Pdia6	0.032818824366548774	-0.2550782719515581
Slc25a30	0.03260271763333472	-0.17656401306042058
Rpn1	0.03247629835045437	-0.20601042036801331
Id3	0.03179617372074899	-0.2851699491738833
Got1	0.03135113019207935	-0.2814722325858785
Arl4c	0.03130846564640889	-0.03767896950101375
Star	0.03118490074667737	-0.14553771184519637
Scarb2	0.03099959510899988	-0.19504707179075365
P4hb	0.030367466505149085	-0.2600787568384522
Skil	0.030335480479187393	-0.18059554582978565
Eno1	0.030305122170318482	-0.12102262050704854
Mcl1	0.02974953247342249	-0.28178082195042
Cdh2	0.029526089400375273	-0.07000450192846361
Ftl1	0.029449457818400544	-0.1420642628891649
Ddx5	0.028998669374816842	-0.10063287318265829
Calu	0.028779339576860408	-0.05912839621543459
Nr4a1	0.028672749337792385	-0.2661674413650562
Cyp11b1	0.028531711600152776	-0.09372039910256431
Ermp1	0.028463922335318845	-0.12403123813046767
Tpt1	0.028301263298032776	-0.09709559106842125
mt-Nd6	0.02809570855112111	0.00011622887607565247
Ssr3	0.028088193725151752	-0.1473206527606108
Enpp2	0.02800677151121881	-0.12125525568779179
Srsf5	0.027361236696816907	-0.14850561885304392
Atp11a	0.027153473069250665	-0.04168294007409244
Cd151	0.026819863849754884	-0.06748089600140936
Eef1a1	0.02665614461172325	-0.11519998553909558
Dcbld2	0.02654344252606367	-0.09837734794829862
Pcolce	0.02653145004658206	-0.2563556282536331
Fdx1	0.026345937683922904	-0.13614335216774962
Cyp11a1	0.026345690618871556	-0.09369136790756856
Amotl2	0.026017622354926245	-0.03011215792174772
Prkg2	0.025979554134535957	-0.23710785565531411
Cited2	0.025884767764973917	-0.07837433842038308
H3f3b	0.02585467290014787	-0.28334817560865116
Cnn2	0.025852195191685228	-0.0817293124762229
mt-Nd4	0.025411303753673384	3.689866524902996e-05
Cpe	0.025340248564397885	-0.08661174093377504
Rps14	0.025214679482477107	-0.2049848721319495
Ctnnb1	0.025194875260017506	-0.09136861554256902
Avpi1	0.025168277145528033	-0.04440837762716421
Trank1	0.02505520721673672	-0.09552564004164943
Actn1	0.024603246911863934	-0.02239576943434078
Dusp1	0.024206317345188102	-0.11113990217178386
Cnn3	0.024068010121458358	-0.08175790354138153
Gclc	0.023957866012497123	-0.14682105857155042
Rps7	0.02385934650721394	-0.20266655940630318
Rpl10	0.0237173640750877	-0.21052262793031407
Lamp2	0.023616821959879537	-0.28483282943397864
Ldlr	0.02350764542402381	-0.2846309678428492
Loxl3	0.02336742209129721	-0.284100514630993
Tpm4	0.023285858960464666	-0.09784539152063798
Bzw1	0.023235114524677615	-0.05449054580824818
Thrap3	0.02320852623717757	-0.12100375215143666
Lama5	0.0231862970266509	-0.2848593293813073
Map1b	0.023048895028145777	-0.28268068180774214
Fosb	0.0229753166110495	-0.14025201398992543
Adcy7	0.022945011053119694	-0.024065989971868484
Tnfrsf12a	0.02264643900241496	-0.1032529681514921
Slc7a1	0.022568735543446437	-0.1700546390365596
Atp2a2	0.02242017320125097	-0.042083912996892556
Son	0.022321512816948014	-0.15731154010414106
Scd1	0.022313830047358024	-0.19464475002267534
Rps27	0.021982866590985722	-0.20367359224444848
Aars	0.02185694011371082	-0.01877409136884675
Axin2	0.021844667259772885	-0.04456108832020411
Csnk1a1	0.021796779617840392	-0.08988706517466
Zfand5	0.021729388912331837	-0.030470868728970868
Tpst2	0.0217038310262874	-0.09714928899397735
Egr3	0.0215285846209097	-0.11665625480456215
Acsbg1	0.02152020230983409	-0.021895646269027215
Trib1	0.021501531584905233	-0.09405792232190269
Nedd9	0.02149637324293418	-0.27028975161351504
Dnajb4	0.02131073781951611	-0.10651849710253654
Bag3	0.02113691022948236	-0.04802767988276503
Atp2b4	0.021019684485039002	-0.04220925631856595
Sparcl1	0.02100127595012408	-0.15521817684855
Manf	0.020996623775625126	-0.28272055297747223
Eif5	0.02094993226272459	-0.11854720142582931
Cyp51	0.020890859231968224	-0.0945917794935441
Pdia4	0.020816600065704998	-0.255120559574038
Itgav	0.020512451531366993	-0.2855104109341019
Klf13	0.020488609568269346	-0.28517894315845077
Tgfbr3	0.020411863350461357	-0.12300832587106103
Tnks1bp1	0.020145294233586717	-0.10185622372480962
Rpl18a	0.020136234610251436	-0.20952130682355752
Fhl2	0.020087563455423584	-0.13763311961608063
Npc2	0.02006212041526332	-0.2669479423982289
Eif4a1	0.01998633698454813	-0.11811094325446206
Insig1	0.019766578381066758	-0.2854752346663766
Gm44164	0.01945234641776238	-0.2568272788733589
Il17ra	0.019435493280436363	-0.28538489388015986
Tceal9	0.019351493016886347	-0.129244809993025
Abca1	0.01933897685377126	-0.01895340720766934
Slc30a4	0.019257834570375717	-0.17452797455921398
Pam	0.01919826995031713	-0.25927886054235527
Prss35	0.01915332129950687	-0.23469399882614528
S100a10	0.01909960897101835	-0.1983382585500969
Mrap	0.019093581133783313	-0.2770743970069775
Srsf6	0.018897541210134504	-0.14846032878690418
Plat	0.018817707796443844	-0.2482040241566955
Btg2	0.01874626211457642	-0.05412230955520442
Phgdh	0.018550391479988382	-0.2518639494830991
Rpl12	0.018447863151073666	-0.21028922942051087
Etfrf1	0.018334242138103245	-0.1249707121232996
Itgb1	0.01832594193565968	-0.2855101505580188
Cnbp	0.018324246969957204	-0.08138628723997285
Twist1	0.018279351704134507	-0.07879302440448277
Hif1a	0.018145066114005293	-0.28409049009431225
Kif5b	0.01800073299408486	-0.2852393922039484
Msmo1	0.017988200738153732	-0.27554682922824597
Daam2	0.017771135374429578	-0.09703519065381239
Cd63	0.017726806945672916	-0.06838146927950811
Tspan4	0.01763474367830891	-0.08550760216246645
Cd44	0.01754997747033028	-0.06818985381745499
Edem1	0.01745508298154548	-0.11490818990732174
Laptm4a	0.01732538801834882	-0.2847990078568967
Btf3	0.01727631567671504	-0.05401709763434742
Ppp1r12b	0.017271439210808728	-0.2409052878511201
Aff1	0.017237118085367577	-0.025419390941982548
Hmgcr	0.01718573903346494	-0.284557017084334
Bsg	0.01708953325122897	-0.05351865666934422
Wdr1	0.017064879382966514	-0.05196950702697323
Slc3a2	0.017023467122854394	-0.17198010712317757
Rtn4	0.016985844213290305	-0.1997728087625229
Arpc1b	0.01691487041809128	-0.03846927252156455
Nt5dc3	0.01684299312694257	-0.26511298498094704
Phf20l1	0.016828706188882415	-0.25208664634895916
Reep3	0.016752034921961104	-0.21967202476208514
Chka	0.01674171492788586	-0.07634058851589945
Sec61a1	0.016687307306330265	-0.1912854784164445
Rpl32	0.016645147114516617	-0.20773939903580696
Sf3b1	0.016596420927199117	-0.18673699787068387
Pfkp	0.016531432757902385	-0.253275598720804
Loxl2	0.016350050243074836	-0.2841052270385601
Actn4	0.016209130182546376	-0.022464417750089942
Abl2	0.015964430980777593	-0.020355146041548
Zbtb20	0.015953154428505506	-0.03719642721167882
Atf4	0.015911247580124657	-0.040782708069776435
Pla1a	0.015707899858734387	-0.24867193089292222
Eif1	0.015680130685766725	-0.11706322478232004
Capzb	0.015567646510847745	-0.060322733824031055
Gsn	0.015549102184398252	-0.2826667526221456
Brd2	0.015440946991811536	-0.0527863634648677
3010003L21Rik	0.015419717449435636	-0.003208526832089515
Atp6v0a1	0.015411720220539897	-0.04281406381751171
App	0.015262417156469844	-0.034679189815015936
Stat3	0.015197439377455291	-0.1449442716020357
Nars	0.01517527161781548	-0.27243580288905506
Elovl5	0.014948467272550782	-0.11959589533639658
Zfhx4	0.014815895296154239	-0.02997499021899863
Cdkn1a	0.014806414958956125	-0.071165771277372
Lamp1	0.014788350509372578	-0.28483617102956416
Srsf3	0.014788156119093787	-0.14859612057114613
Rasl11b	0.014696695100120397	-0.22312014459172613
Ddit4	0.014566778824685394	-0.09972413079457745
Errfi1	0.01444935280373287	-0.12420712422178756
Pgk1	0.014422872032656521	-0.25288176264142553
Fbln2	0.014346359116556608	-0.13344602748449258
Atp6v1e1	0.01421053668655118	-0.043192955807792976
Aplp2	0.014148975225501802	-0.034070397892369535
Tax1bp1	0.014119843109546455	-0.13258538358561378
Esyt2	0.014078342391660299	-0.12470597007296397
Filip1l	0.014048358961568986	-0.13798267045719964
1700017B05Rik	0.013989424821703381	-0.00025042729446844714
Anxa1	0.013955537227818955	-0.03244042592366516
Macf1	0.01394808303665549	-0.2830730805528659
Cttnbp2nl	0.013912004649334604	-0.09197874366398696
Notch2	0.013865551256714865	-0.2672492144374611
Gars	0.013822833783529437	-0.14550548753130213
Polr2l	0.013798924313282977	-0.24325958675412307
Rack1	0.013792441598790837	-0.2259171804528639
Psmd4	0.013778918428162935	-0.23305607503117187
Wsb1	0.013767514673613238	-0.0451996393371934
Neat1	0.013722335122247444	-0.2705187324351142
Dhx15	0.013632087958956866	-0.10333191552997195
Mlec	0.013619850645619333	-0.27827060076435645
Ampd3	0.013482747786956812	-0.030160502506631742
Eif4a2	0.013476955801146114	-0.11814003313628302
Hdlbp	0.013467570629042636	-0.28378010140691
Rpl6	0.013459864870356058	-0.2066572087353351
Pitrm1	0.013413052949772882	-0.24922981980512898
Hnrnpf	0.013371420726545987	-0.2846479914980825
Pkdcc	0.013368834215227755	-0.24895112050360485
Fam129a	0.013330249794204227	-0.12849828118392245
Anxa2	0.013301667920504225	-0.03251338851653591
Tmem123	0.013136870791788052	-0.11398576129165783
Arpc2	0.01313053278546904	-0.03849404061717695
Cfl1	0.013126633814394972	-0.07512976317627838
Ecm1	0.01310890620039966	-0.11461637728708612
Oxct1	0.013105520661726012	-0.26050273949725794
Nrp2	0.013101936053450707	-0.2657040061314304
Grina	0.013048504769010896	-0.2824771920060874
Trio	0.013005965770255395	-0.0911085888952804
Frmd6	0.012978219586537627	-0.1413632911389558
