Ensg	CD-coefficient	Significance
ENSMUSG00000105703	0.42747561239536647	0.0031739564272889043
ENSMUSG00000031722	0.28305630569602064	0.0014385499625259035
ENSMUSG00000001670	0.25558520462222256	0.000527810988610801
ENSMUSG00000058207	0.201342919022135	0.030075996618948442
ENSMUSG00000056035	0.17896627321504865	0.029304241941847775
ENSMUSG00000030895	0.15741135956315444	0.0007145428054352587
ENSMUSG00000059908	0.1141390186986235	0.030556388618086072
ENSMUSG00000028088	0.10890068374509451	0.0024745658042350516
ENSMUSG00000021091	0.10148983263710448	0.02689354474829103
ENSMUSG00000064370	0.09164427476693932	0.03146396657719541
ENSMUSG00000028011	0.0895770863368347	0.002703224775610913
ENSMUSG00000040017	0.08490899575491818	0.01443522664245156
ENSMUSG00000035686	0.08465581686970643	0.006780651501688328
ENSMUSG00000031482	0.07900752190115297	0.0011438314620534351
ENSMUSG00000079012	0.0780592122353638	0.030296941386753873
ENSMUSG00000076441	0.07162486428046848	0.03088687258508349
ENSMUSG00000037798	0.06930831934546594	0.009992298123423171
ENSMUSG00000031765	0.06267915756351544	0.001492623795739556
ENSMUSG00000031762	0.0626413992423945	0.001490021680760234
ENSMUSG00000074115	0.06220308307668007	0.0313463419331943
ENSMUSG00000003721	0.055254310822627654	0.005892269858437882
ENSMUSG00000074768	0.055067383427866864	0.031150817992786406
ENSMUSG00000034926	0.050469606333858844	0.005750525191431988
ENSMUSG00000029695	0.0482979133984914	0.0004099412648738143
ENSMUSG00000026839	0.04609091905632473	0.006134855455082855
ENSMUSG00000033831	0.04102116192874676	0.004198531939629213
ENSMUSG00000064341	0.037755120155649975	0.03144369720815787
ENSMUSG00000029597	0.037007485917919754	0.00044253707124319863
ENSMUSG00000027513	0.036493294209753564	0.0039202585343974805
ENSMUSG00000032083	0.036144522894224464	0.0019948706719445375
ENSMUSG00000030483	0.03445286132448499	0.0004646202816778189
ENSMUSG00000033022	0.03383683157476319	0.00333804756756767
ENSMUSG00000026822	0.033325691646410305	0.00621547408221218
ENSMUSG00000025991	0.031737641990516714	0.009738934375291386
ENSMUSG00000029445	0.03121805258536265	0.00051058812095095
ENSMUSG00000032786	0.028862008069616963	0.003111062267757869
ENSMUSG00000067279	0.0285065745403683	0.03162076610179532
ENSMUSG00000031545	0.02539014625625181	0.0012317079582410684
ENSMUSG00000049404	0.02485711809798697	0.025211084058745614
ENSMUSG00000056091	0.02444857677532519	0.029332522559322838
ENSMUSG00000019368	0.02342174425341478	0.025579979379606377
ENSMUSG00000025190	0.022473233096285197	0.012894861673617863
ENSMUSG00000020108	0.0219629680807896	0.026714774602420707
ENSMUSG00000033860	0.021381577190444114	0.004229483330544903
ENSMUSG00000017344	0.021325787738998167	0.023231623597443393
ENSMUSG00000028967	0.019174780564045504	0.0009264954725667907
ENSMUSG00000024222	0.018848338287658653	0.01725759928905221
ENSMUSG00000026576	0.018475581317329792	0.007315359218477924
ENSMUSG00000060613	0.01835925648416969	0.030726653596803377
ENSMUSG00000035202	0.01813142835260403	0.006132408978251902
ENSMUSG00000105263	0.01766816054632206	0.004443126784253737
ENSMUSG00000022244	0.017475475266174805	0.023561711020602144
ENSMUSG00000039956	0.01698396957315995	0.014281669977454281
ENSMUSG00000031431	0.016389880506271746	0.0010930769588508027
ENSMUSG00000029273	0.01620646304766882	0.0006171021616211969
ENSMUSG00000032271	0.0161067589211998	0.0022576159977793497
ENSMUSG00000011305	0.016083116171361333	0.018461438142349185
ENSMUSG00000074622	0.016055077003829608	0.0311948219709155
ENSMUSG00000021922	0.015319422178978692	0.02479507292948202
ENSMUSG00000031980	0.014932562597325725	0.0018248996054481825
ENSMUSG00000057465	0.01475589037496535	0.029867917936636568
ENSMUSG00000029580	0.014489466511532536	0.00044756850387839275
ENSMUSG00000046794	0.01409029824709486	0.023065978831497858
ENSMUSG00000034780	0.014074362889311054	0.005497464544763131
ENSMUSG00000026819	0.013796556647576686	0.006239761955040224
ENSMUSG00000020429	0.01338014780876226	0.02729692045160087
ENSMUSG00000055730	0.013271594008286584	0.029156021756602146
ENSMUSG00000062762	0.012999955335321178	0.0311507996609236
ENSMUSG00000019944	0.012964210655996851	0.026268075957175924
ENSMUSG00000022270	0.01294391381697559	0.023474439436511174
ENSMUSG00000025533	0.012921096482986895	0.011305111753971753
ENSMUSG00000023067	0.01275325063862419	0.019802272707848928
ENSMUSG00000002769	0.01259375565630116	0.003114816355268543
ENSMUSG00000021750	0.012541016489657617	0.025390853618180942
ENSMUSG00000019970	0.012390326105436248	0.026325662758536386
ENSMUSG00000074254	0.01220713732590921	0.03129883791200927
ENSMUSG00000037095	0.012158219777216202	0.008826007474951436
ENSMUSG00000022462	0.011897300304217654	0.022670457233530256
