GeneName	CD-coefficient	Significance
B2m	0.4107629462069405	0.29091427837342826
Glul	0.18381281617366568	0.522958204734091
Fcer1a	0.1768740164399458	0.5178509018108057
mt-Atp8	0.1543643820691767	0.0017406603858687308
Fth1	0.14688776158732147	0.5205562908145349
mt-Co1	0.12254657629033228	0.0016817369651166425
Cma1	0.11788628502708884	0.4324780777145676
Slc7a8	0.11745135697082695	0.15470366280626413
Nmb	0.09876486657996741	0.3154673446826488
Ank	0.08882181456076027	0.20205334212434384
Serinc3	0.0837688208194555	0.17464354970569096
Gm29216	0.07533491265518247	0.5045790700778233
mt-Cytb	0.07206031137090678	0.0015011586801577659
Ecm1	0.07156542267224719	0.4980610934440691
Calca	0.06436137067064442	0.3477039276369379
Cited2	0.06018341810373396	0.42527900026350407
Itm2c	0.056220487463570716	0.4037964036183489
Slc3a2	0.05610901798039533	0.15663246882241144
Lilr4b	0.05542127668072083	0.3854161600408803
mt-Atp6	0.053867324099644606	0.0018002675545489844
mt-Nd5	0.04936492625103665	0.001138191552941592
Gm10925	0.048795939235427105	0.5235126411497408
Zfp36l2	0.04553355986248201	0.019771607078405862
Tmem158	0.044319182890084546	0.0958147258825911
Gm28437	0.044233740333576924	0.5053476902226823
Tmem273	0.043465780686182585	0.09133712442044173
Anpep	0.0433210193850041	0.21192309509248233
Sult1a1	0.04304974648881828	0.12321732680047759
mt-Co3	0.04129357998109406	0.0015611645243279737
Ctla2a	0.04063069562904332	0.45854102458775986
Glb1	0.03786098595350473	0.5228117546917507
Mt1	0.036897885191126537	0.33804246049691766
mt-Nd4l	0.03607357312496439	0.0011991453938307028
Padi2	0.03145988194091394	0.29584502188560036
Gm10222	0.0312712858122144	0.5232338229791527
Ucp2	0.030883864550268272	0.05590973418536771
Chst1	0.030810760923784306	0.4217551317936995
Ddit4	0.0284781607707373	0.4745841215577534
Rps23-ps1	0.027453151902283257	0.19519431767721307
Lilrb4a	0.0255156735098404	0.3853097335451864
Rps27	0.025151649697989144	0.19471455426082074
Trbv13-2	0.02460515624076537	0.0780426034823819
Fkbp5	0.023690973056161028	0.5191372887799934
Mt2	0.02319840934982545	0.33798667990121767
2410006H16Rik	0.023198126532009034	0.04169169047851
Cited4	0.022743337177901973	0.42539178557903723
Cx3cr1	0.021427383579514365	0.4625264566596401
Rps29	0.021199336876542983	0.19429460002718257
Tsc22d3	0.020759723195889954	0.07141211355184385
Gm13340	0.020298384868236832	0.5220540157048296
Gm24276	0.020145978867243397	0.5088934860696028
Glns-ps1	0.019924760623718684	0.5228839672578575
Rps15	0.019732905783410873	0.19747292137212868
Ppp1cc	0.019352926419650692	0.2599142632649337
mt-Nd1	0.019136298579360386	0.001441035188035622
C77080	0.018682200130895256	0.3433197653847392
Cd34	0.018654358028304247	0.3891249695663268
Clint1	0.018324475047832495	0.42940570293813657
Gm14303	0.017911344548739678	0.5202627623645852
mt-Nd2	0.017857547303442394	0.001381092096045089
Rpl4	0.017472532361153925	0.20190582985531047
Nfkbia	0.01739085464524005	0.318703865074906
mt-Nd4	0.01729080449082419	0.0012600801155518981
Tns1	0.01684295519183672	0.08490555100733244
Creb3l1	0.01676945863304632	0.4512898155069529
Tubb2a	0.01665721654512078	0.06593040458706656
Rps3a1	0.016012758684192257	0.19417458901983653
Tent5a	0.015752417870161028	0.1087475527512044
Slc2a1	0.015623966457435634	0.1602486003494139
Rps14	0.015105059434040391	0.1975328599672621
Pdxk	0.0147266467269169	0.2861535864302347
Rps23-ps2	0.01467231660862501	0.1951343567835745
Tpt1-ps3	0.014598412076717244	0.08083586437911061
Tpt1	0.01439448826430324	0.08089660391262199
Ak3	0.014348091098590948	0.1782103627979641
Rnf19b	0.014187691045673622	0.21357059053720673
Tgfbr1	0.013957423041523169	0.10632807897547192
Cst3	0.013891148757704011	0.4568004770190587
Rpl36	0.01386440200016707	0.20292288043895568
Rpl28-ps1	0.013851627818903514	0.20543552711570223
Cyb5a	0.013674958719167863	0.463218125321595
Rps21	0.01341202620709257	0.19531425110737366
Gm6204	0.013310937699892115	0.4720712874532787
Ctsd	0.013127966922421238	0.45980012764866063
Gm10051	0.013010569885171505	0.5230344536965681
Mfge8	0.012546303291294983	0.3601826832684263
Gm4613	0.012519357629354034	0.48941531698212853
Fads1	0.012007749787198433	0.5124057623503389
Gm15500	0.011641165814883817	0.5186509181829367
Ly6a	0.011635063734732769	0.37706608253475926
Hexa	0.011481191590927933	0.4284765622518794
Rpl8	0.011295998997579054	0.2008283316447158
Rpl32	0.011246687869641872	0.2037605607459857
Gm10443	0.0112311365953546	0.5234074361888202
Acsbg1	0.011194531988705974	0.14624261027325358
Itga2b	0.0111419595935049	0.4047250388092877
Rpl10	0.011038501431096656	0.20992313692189846
Rps27rt	0.010827038945024401	0.19441459108864378
Orm3	0.010738581495070962	0.2998678535874276
Psap	0.01071874524390157	0.2489869541763916
Rps28	0.010687965333698342	0.19435459686077639
Rpl31	0.010342094234530958	0.2045981493242669
Tcn2	0.010275072294187393	0.11098828252197956
Capzb	0.010140351725433618	0.3541821668871949
Cox8a	0.00986330653055268	0.4478581883359197
Hck	0.009840087245794448	0.43097438132122734
Sh3bgrl3	0.00978398292078135	0.16958592130049033
Rps6	0.009698611199481776	0.19375456071397723
Ero1l	0.009615776301904999	0.5094026001872367
Rps23	0.009601601007839853	0.19525428308336146
Rpl28-ps3	0.009601291490297198	0.2053757001422395
